Timestamp,Qs_in_Avg,T1_Avg,air_pressure,RH,wind_speed,wind_dir
"YYYY-MM-DD HH:MM:SS UTC","W m-2",°C,Pa,%,"m s-1",deg_from_north
"2024-04-01 03:41:00",-3.055,8.4,NaN,NaN,NaN,NaN
"2024-04-01 03:42:00",-2.959,8.39,NaN,NaN,NaN,NaN
"2024-04-01 03:43:00",-3.439,8.38,NaN,NaN,NaN,NaN
"2024-04-01 03:44:00",-2.884,8.37,NaN,NaN,NaN,NaN
"2024-04-01 03:45:00",-2.894,8.37,NaN,NaN,NaN,NaN
"2024-04-01 03:46:00",-3.264,8.37,NaN,NaN,NaN,NaN
"2024-04-01 03:47:00",-2.443,8.38,NaN,NaN,NaN,NaN
"2024-04-01 03:48:00",-3.229,8.36,NaN,NaN,NaN,NaN
"2024-04-01 03:49:00",-3.337,8.39,NaN,NaN,NaN,NaN
"2024-04-01 03:50:00",-2.824,8.41,NaN,NaN,NaN,NaN
"2024-04-01 03:51:00",-3.092,8.41,NaN,NaN,NaN,NaN
"2024-04-01 03:52:00",-2.895,8.42,NaN,NaN,NaN,NaN
"2024-04-01 03:53:00",-3.127,8.41,NaN,NaN,NaN,NaN
"2024-04-01 03:54:00",-2.389,8.42,NaN,NaN,NaN,NaN
"2024-04-01 03:55:00",-3.117,8.43,NaN,NaN,NaN,NaN
"2024-04-01 03:56:00",-2.835,8.44,NaN,NaN,NaN,NaN
"2024-04-01 03:57:00",-2.889,8.44,NaN,NaN,NaN,NaN
"2024-04-01 03:58:00",-2.649,8.44,NaN,NaN,NaN,NaN
"2024-04-01 03:59:00",-3.052,8.44,NaN,NaN,NaN,NaN
"2024-04-01 04:00:00",-2.69,8.44,NaN,NaN,NaN,NaN
"2024-04-01 04:01:00",-3.231,8.43,NaN,NaN,NaN,NaN
"2024-04-01 04:02:00",-2.591,8.43,NaN,NaN,NaN,NaN
"2024-04-01 04:03:00",-3.024,8.4,NaN,NaN,NaN,NaN
"2024-04-01 04:04:00",-3.199,8.39,NaN,NaN,NaN,NaN
"2024-04-01 04:05:00",-2.723,8.39,NaN,NaN,NaN,NaN
"2024-04-01 04:06:00",-2.614,8.39,NaN,NaN,NaN,NaN
"2024-04-01 04:07:00",-3.166,8.39,NaN,NaN,NaN,NaN
"2024-04-01 04:08:00",-3.057,8.36,NaN,NaN,NaN,NaN
"2024-04-01 04:09:00",-2.859,8.35,NaN,NaN,NaN,NaN
"2024-04-01 04:10:00",-2.913,8.34,NaN,NaN,NaN,NaN
"2024-04-01 04:11:00",-3.367,8.33,NaN,NaN,NaN,NaN
"2024-04-01 04:12:00",-2.887,8.32,NaN,NaN,NaN,NaN
"2024-04-01 04:13:00",-2.958,8.28,NaN,NaN,NaN,NaN
"2024-04-01 04:14:00",-3.131,8.29,NaN,NaN,NaN,NaN
"2024-04-01 04:15:00",-2.792,8.27,NaN,NaN,NaN,NaN
"2024-04-01 04:16:00",-2.585,8.27,NaN,NaN,NaN,NaN
"2024-04-01 04:17:00",-2.861,8.27,NaN,NaN,NaN,NaN
"2024-04-01 04:18:00",-2.614,8.26,NaN,NaN,NaN,NaN
"2024-04-01 04:19:00",-2.895,8.25,NaN,NaN,NaN,NaN
"2024-04-01 04:20:00",-2.893,8.24,NaN,NaN,NaN,NaN
"2024-04-01 04:21:00",-2.861,8.24,NaN,NaN,NaN,NaN
"2024-04-01 04:22:00",-2.685,8.23,NaN,NaN,NaN,NaN
"2024-04-01 04:23:00",-2.821,8.23,NaN,NaN,NaN,NaN
"2024-04-01 04:24:00",-2.444,8.22,NaN,NaN,NaN,NaN
"2024-04-01 04:25:00",-2.794,8.21,NaN,NaN,NaN,NaN
"2024-04-01 04:26:00",-2.353,8.2,NaN,NaN,NaN,NaN
"2024-04-01 04:27:00",-2.748,8.21,NaN,NaN,NaN,NaN
"2024-04-01 04:28:00",-2.891,8.2,NaN,NaN,NaN,NaN
"2024-04-01 04:29:00",-2.247,8.2,NaN,NaN,NaN,NaN
"2024-04-01 04:30:00",-3.199,8.18,NaN,NaN,NaN,NaN
"2024-04-01 04:31:00",-2.649,8.19,NaN,NaN,NaN,NaN
"2024-04-01 04:32:00",-2.491,8.18,NaN,NaN,NaN,NaN
"2024-04-01 04:33:00",-2.585,8.18,NaN,NaN,NaN,NaN
"2024-04-01 04:34:00",-2.446,8.17,NaN,NaN,NaN,NaN
"2024-04-01 04:35:00",-3.059,8.18,NaN,NaN,NaN,NaN
"2024-04-01 04:36:00",-2.961,8.18,NaN,NaN,NaN,NaN
"2024-04-01 04:37:00",-2.283,8.17,NaN,NaN,NaN,NaN
"2024-04-01 04:38:00",-2.208,8.15,NaN,NaN,NaN,NaN
"2024-04-01 04:39:00",-2.213,8.14,NaN,NaN,NaN,NaN
"2024-04-01 04:40:00",-3.226,8.15,NaN,NaN,NaN,NaN
"2024-04-01 04:41:00",-3.197,8.14,NaN,NaN,NaN,NaN
"2024-04-01 04:42:00",-2.661,8.15,NaN,NaN,NaN,NaN
"2024-04-01 04:43:00",-2.755,8.14,NaN,NaN,NaN,NaN
"2024-04-01 04:44:00",-2.919,8.14,NaN,NaN,NaN,NaN
"2024-04-01 04:45:00",-2.42,8.14,NaN,NaN,NaN,NaN
"2024-04-01 04:46:00",-2.589,8.14,NaN,NaN,NaN,NaN
"2024-04-01 04:47:00",-2.739,8.15,NaN,NaN,NaN,NaN
